Buchungsdatum,Buchungskreis,Werk,Material,Materialbez,Materialgruppe,Menge,Mengeneinh,KOSTL,Betrag,Waehr,Lieferant
15.01.2024,1000,PL01,4711001,Dieselkraftstoff,001,5000,L,4100,6500.00,EUR,DE-SHELL-001
22.01.2024,1000,PL01,4711001,Dieselkraftstoff,001,3200,L,4100,4160.00,EUR,DE-SHELL-001
31.01.2024,1000,PL02,4711002,Heizöl leicht,002,2000,L,4200,2600.00,EUR,DE-ESSO-002
05.02.2024,1000,PL01,4711001,Dieselkraftstoff,001,4800,L,4100,6240.00,EUR,DE-SHELL-001
12.02.2024,1000,PL03,4711003,Erdgas,003,850,M3,4300,1275.00,EUR,DE-E.ON-003
14.02.2024,1000,PL01,4711004,Benzin Super,001,1200,L,4150,1920.00,EUR,DE-ARAL-004
19.02.2024,1000,PL02,4711002,Heizöl leicht,002,2500,Ltr,4200,3250.00,EUR,DE-ESSO-002
28.02.2024,1000,PL01,4711001,Dieselkraftstoff,001,5500,L,4100,7150.00,EUR,DE-SHELL-001
03.03.2024,1000,PL03,4711003,Erdgas,003,920,M3,4300,1380.00,EUR,DE-E.ON-003
10.03.2024,1000,PL04,4711005,Flüssiggas LPG,004,800,L,4400,960.00,EUR,DE-PRIMAGAS-005
15.03.2024,1000,PL01,4711001,Dieselkraftstoff,001,6200,L,4100,8060.00,EUR,DE-SHELL-001
18.03.2024,1000,PL02,4711002,Heizöl leicht,002,0,L,4200,0.00,EUR,DE-ESSO-002
22.03.2024,1000,PL01,4711004,Benzin Super,001,980,L,4150,1568.00,EUR,DE-ARAL-004
25.03.2024,1000,PL03,4711003,Erdgas,003,1100,M3,4300,1650.00,EUR,DE-E.ON-003
01.04.2024,1000,PL01,4711001,Dieselkraftstoff,001,4900,L,4100,6370.00,EUR,DE-SHELL-001
08.04.2024,1000,PL04,4711005,Flüssiggas LPG,004,1200,L,4400,1440.00,EUR,DE-PRIMAGAS-005
15.04.2024,1000,PL01,4711001,Dieselkraftstoff,001,18500,L,4100,24050.00,EUR,DE-SHELL-001
22.04.2024,1000,PL02,4711002,Heizöl leicht,002,3000,KG,4200,3900.00,EUR,DE-ESSO-002
30.04.2024,1000,PL03,4711003,Erdgas,003,760,M3,4300,1140.00,EUR,DE-E.ON-003
05.05.2024,1000,PL01,4711001,Dieselkraftstoff,001,5100,L,4100,6630.00,EUR,DE-SHELL-001
